PhraseId,SentenceId,Phrase,Sentiment,length
67058,3404,"crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book",1,18
98992,5191,"like Heathers , then becomes Bring it On , then becomes unwatchable",0,12
12089,518,"the ensemble cast , the flat dialogue by Vincent R. Nebrida or the gutless direction by Laurice Guillen",0,18
77042,3963,"A film of empty , fetishistic violence in which murder is casual and fun .",0,15
107534,5683,"capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy",1,24
79266,4082,"The film is visually dazzling , the depicted events dramatic , funny and poignant .",1,15
96214,5026,a chore to sit through -- despite some first-rate performances by its lead,0,13
89271,4640,"promisingly but disintegrates into a dreary , humorless soap opera .",0,11
15809,678,most purely enjoyable and satisfying,1,5
154564,8450,fails him,0,2
56283,2822,"A stylish but steady , and ultimately very satisfying , piece of character-driven storytelling",1,14
45646,2218,deeply unpleasant,0,2
31553,1477,Colin Hanks is in bad need of major acting lessons and maybe a little coffee .,0,16
88804,4613,"the humor , characterization , poignancy , and intelligence of a bad sitcom",0,13
49091,2398,An intelligent romantic thriller of a very old-school kind,1,9
36195,1711,"'m convinced I could keep a family of five blind , crippled , Amish people alive in this situation better than these British soldiers do at keeping themselves kicking",0,29
54381,2702,"absurd , contrived , overblown , and entirely implausible finale",0,10
50835,2500,deftly executed,1,2
101134,5315,"with nothing but a Savage Garden music video on his resume , he has no clue about making a movie",0,20
38718,1845,pick your nose instead because you 're sure to get more out of the latter experience,0,16
78470,4036,An intoxicating experience .,1,4
110804,5870,-LRB- A -RRB- poorly executed comedy .,0,7
72169,3687,It zips along with B-movie verve while adding the rich details and go-for-broke acting that heralds something special .,1,19
128057,6889,"that zings all the way through with originality , humour and pathos",1,12
29190,1351,"savvy , compelling",1,3
39712,1896,with too little excitement and zero compelling storyline,0,8
81623,4211,"A beautiful , timeless and universal tale of heated passions --",1,11
72588,3708,of healthy eccentric inspiration and ambition,1,6
95579,4991,A poignant comedy that offers food for thought .,1,9
121466,6507,pulling on heartstrings,1,3
91770,4776,does n't add up to a whole lot,0,8
12213,522,laugh-a-minute crowd pleaser,1,3
69749,3547,"Both shrill and soporific , and because everything is repeated five or six times , it can seem tiresomely simpleminded .",0,21
4004,152,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .",0,40
33038,1548,"'s simply stupid , irrelevant and deeply",0,7
147603,8032,'s not one decent performance from the cast and not one clever line of dialogue,0,15
28649,1325,strong and unforced,1,3
84324,4357,ca n't help but feel ` stoked .,1,8
137419,7434,trying to drown yourself in a lake afterwards,0,8
59350,2993,it will warm your heart,1,5
91109,4740,a truly distinctive and a deeply pertinent film,1,8
129964,6997,"is pleasant , diverting and modest -- definitely a step in the right direction .",1,15
137512,7439,is heartfelt and hilarious in ways you ca n't fake,1,10
131331,7076,with the best of them,1,5
110227,5838,can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace,1,23
31677,1485,will love this movie,1,4
156008,8541,really do a great job of anchoring the characters in the emotional realities of middle age .,1,17
73447,3753,like something wholly original,1,4
56769,2853,most accomplished work,1,3
144825,7862,Mr. Scorsese 's bravery and integrity,1,6
32524,1523,its tragic waste of life,0,5
91070,4737,offers all the pleasure of a handsome and well-made entertainment .,1,11
135618,7326,"the most beautiful , evocative works",1,6
110809,5871,A deftly entertaining film,1,4
89832,4675,should have a stirring time at this beautifully drawn movie .,1,11
98885,5187,which nurses plot holes gaping enough to pilot an entire Olympic swim team through,0,14
5399,216,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .",0,25
112798,5989,bad direction and bad acting,0,5
39095,1866,"vulgar , sexist , racist humour",0,6
51596,2543,sick and demented humor,0,4
90806,4725,a light-hearted way the romantic problems,1,6
103410,5452,the tale with bogus profundities,0,5
262,10,could hate it for the same reason,0,7
100165,5255,are well worth revisiting as many times as possible,1,9
122798,6587,", Green Dragon is still a deeply moving effort to put a human face on the travail of thousands of Vietnamese .",1,22
91991,4786,indescribably bad,0,2
116115,6188,"Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects",0,15
56278,2821,know the picture is in trouble .,0,7
104830,5536,A remarkable film by Bernard Rose,1,6
97496,5099,"Lux , now in her eighties , does a great combination act as narrator , Jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history .",1,36
99219,5203,"The issues are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",0,30
35833,1691,Offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a Hollywood film .,1,22
96127,5021,is a dud .,0,4
77850,4003,child abuse,0,2
33281,1559,"A sun-drenched masterpiece ,",1,4
21554,964,nearly as dreadful as expected,0,5
53160,2637,"It 's a beautiful film , full of elaborate and twisted characters",1,12
91779,4777,"in its own way , Rabbit-Proof Fence is a quest story as grand as The Lord of the Rings",1,19
14913,641,will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ?,0,21
60446,3052,"yielded such a flat , plodding picture",0,7
5967,239,is one of world cinema 's most wondrously gifted artists and storytellers,1,12
155127,8490,a charge of genuine excitement,1,5
93354,4868,by characters who are nearly impossible to care about,0,9
65719,3332,"If you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular .",1,23
45433,2208,"has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes",1,20
44600,2161,"is hugely overwritten ,",0,4
45727,2223,being bored,0,2
153564,8386,grinds itself out in increasingly incoherent fashion,0,7
37455,1778,"its exquisite acting , inventive screenplay , mesmerizing music , and",1,11
140919,7642,brutally labored and unfunny hokum,0,5
98509,5163,'s hilarious,1,2
143677,7797,virtually joyless,0,2
54427,2705,This long and relentlessly saccharine film is a clear case of preaching to the converted .,0,16
82977,4284,", but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",1,16
93894,4899,"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",1,24
44727,2169,"you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .",0,25
89576,4659,"If ever a concept came handed down from the movie gods on a silver platter , this is it .",1,20
88314,4587,"Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill",1,15
89666,4666,One of the best movies of the year .,1,9
33357,1563,"to Kline 's superbly nuanced performance , that pondering",1,9
99410,5212,enjoyable Big Movie,1,3
144848,7864,marked by acute writing and a host of splendid performances,1,10
138721,7517,"as one of the cleverest , most deceptively amusing comedies of the year",1,13
6189,246,the highest production values you 've ever seen,1,8
114565,6095,"Boisterous , heartfelt comedy .",1,5
27511,1263,its courageousness,1,2
131021,7061,'d grab your kids and run and then probably call the police .,0,13
91282,4749,before I see this piece of crap again,0,8
33642,1578,said the film was better than Saving Private Ryan .,1,10
59523,3001,between farcical and loathsome,0,4
61169,3091,", hilariously wicked black comedy ...",1,6
145745,7922,"In the end , there is n't much to it .",0,11
8783,366,a wonderful tale of love and destiny,1,7
65516,3318,"is a disaster of a story , full of holes and completely lacking in chills",0,15
85287,4410,is mesmerizing,1,2
151384,8254,Congrats Disney on a job well done,1,7
109158,5780,of elephant feces,0,3
10951,467,"the edge of your seat with its shape-shifting perils , political intrigue and brushes",1,14
23896,1085,a rare treat,1,3
137040,7413,", E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .",1,23
5829,233,its lackadaisical plotting and mindless action,0,6
54779,2728,"Zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance ,",1,25
9301,388,"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",1,21
126739,6814,"besides its terrific performances , is Fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching .",1,21
49553,2427,The most brilliant work in this genre since the 1984 uncut version of Sergio Leone,1,15
85719,4434,lives up to the stories and faces and music of the men who are its subject .,1,17
139463,7565,plain bad .,0,3
85490,4421,great submarine stories,1,3
138717,7517,"Will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year .",1,17
50415,2479,"Victor Rosa is Leguizamo 's best movie work so far , a subtle and richly internalized performance .",1,18
3530,132,"A fascinating , dark thriller that keeps you",1,8
25409,1163,the characters are n't interesting enough to watch them go about their daily activities for two whole hours,0,18
16668,720,"a mostly magnificent directorial career ,",1,6
55948,2798,'s Pauly Shore awful .,0,5
130641,7039,The gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon .,1,33
28061,1289,'s pretty enjoyable,1,3
106794,5641,"borrows a bit from the classics `` Wait Until Dark '' and `` Extremities '' ... But in terms of its style , the movie is in a class by itself",1,31
47097,2296,"be universal in its themes of loyalty , courage and dedication to a common goal",1,15
78453,4034,skip it,0,2
153363,8377,My only wish is that Celebi could take me back to a time before I saw this movie and I could just skip it .,0,25
141678,7686,"may , Lawrence unleashes his trademark misogyny -- er , comedy -- like a human volcano or an overflowing septic tank , take your pick",0,25
11784,507,of a truly magical movie,1,5
125906,6763,"It 's leaden and predictable ,",0,6
39217,1872,"Nicole Holofcenter , the insightful writer\/director responsible for this illuminating comedy",1,11
106747,5638,"named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort",0,19
134207,7242,", this movie is hopeless",0,5
110810,5871,deftly entertaining film,1,3
72901,3722,is a work of outstanding originality,1,6
122147,6546,", Ash Wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast .",1,15
15806,678,the most purely enjoyable and satisfying evenings at the movies,1,10
94055,4907,great director,1,2
44080,2136,"Tries too hard to be funny in a way that 's too loud , too goofy and too short of an attention span",0,23
128524,6913,`` Die Another Day '' one of the most entertaining Bonds in years,1,13
108463,5739,sumptuous work,1,2
6709,269,Thanks to confident filmmaking and a pair of fascinating performances,1,10
52393,2591,", the rest of the cast comes across as stick figures reading lines from a TelePrompTer .",0,17
122565,6574,"a fascinating , riveting story",1,5
83318,4302,have chosen a fascinating subject matter,1,6
43887,2127,features a standout performance by Diane Lane,1,7
141211,7659,it forces you to ponder anew what a movie can be,1,11
30858,1436,it 's also probably the most good-hearted yet sensual entertainment I 'm likely to see all year,1,17
155790,8527,to be sealed in a jar and left on a remote shelf indefinitely,0,13
16562,713,Ferrara 's best film in years,1,6
148469,8078,dying for this kind of entertainment,1,6
100690,5289,May cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,0,22
70237,3576,"resolutely unamusing ,",0,3
133621,7208,A grittily beautiful film,1,4
72550,3707,for drawing wrenching performances from his actors -LRB- improvised over many months -RRB- and for conveying the way tiny acts of kindness make ordinary life survivable,1,26
125630,6750,"A sexy , surprising romance ... Idemoto and Kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger",1,23
121628,6519,"At every opportunity to do something clever , the film goes right over the edge and kills every sense of believability",0,21
93358,4868,nearly impossible to care about,0,5
111616,5924,The film has an infectious enthusiasm,1,6
130386,7024,"Visually engrossing , seldom hammy ,",1,6
49538,2426,the best silly horror movies,1,5
46877,2284,often boring .,0,3
125987,6768,a film you will never forget -- that you should never forget,1,12
84448,4368,"does not rely on dumb gags , anatomical humor , or character cliches",1,13
31018,1445,"no doubt , it 's the worst movie I 've seen this summer",0,13
128995,6937,works beautifully,1,2
126486,6802,"A loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .",0,18
84331,4358,"Colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor",1,16
74516,3820,`` Orange County '' is far funnier than it would seem to have any right to be .,1,18
130777,7046,One lousy movie,0,3
32001,1497,has considerable charm .,1,4
15040,647,Shankman ... and screenwriter Karen Janszen bungle their way through the narrative as if it were a series of Bible parables and not an actual story .,0,27
44694,2167,terrific as Rachel,1,3
46691,2272,"all the story gives us is flashing red lights , a rattling noise , and a bump on the head",0,20
87551,4543,"A summer entertainment adults can see without feeling embarrassed ,",1,10
97310,5088,"'s a wonderful , sobering , heart-felt drama",1,8
27183,1251,too stupid,0,2
154480,8445,American Beauty reeks,0,3
13863,596,Westbrook 's foundation and Dalrymple 's film earn their uplift,1,10
97642,5110,"becomes just another voyeuristic spectacle , to be consumed and forgotten .",0,12
50562,2487,"has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare",1,21
82602,4264,a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted,1,30
100078,5251,it 's hardly over before it begins to fade from memory,0,11
120198,6428,It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,1,24
96151,5023,the type of film about growing up that we do n't see often enough these days :,1,17
32035,1500,"A genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives",1,29
58419,2943,", astonish and entertain",1,4
86541,4481,'ll be thinking of 51 ways to leave this loser,0,10
104555,5521,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,1,21
133195,7184,A DOA dud from frame one .,0,7
51467,2534,clever and very satisfying picture,1,5
44888,2177,takes few chances and manages to insult the intelligence of everyone in the audience,0,14
81328,4192,"seen -LRB- Eddie -RRB- Murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed",0,19
86185,4462,"mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",0,19
118623,6339,a whip-crack of a buddy movie,1,6
126532,6804,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance,0,21
28661,1326,solidly entertaining,1,2
128641,6919,gives Hollywood sequels a bad name,0,6
129718,6979,"Great performances , stylish cinematography and",1,6
116201,6192,be said that he is an imaginative filmmaker who can see the forest for the trees,1,16
43005,2076,has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom,0,12
86133,4459,"More of the same from Taiwanese auteur Tsai Ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films",1,32
26961,1238,thriller with enough unexpected twists to keep our interest,1,9
144950,7871,quite possibly the sturdiest example yet of why the DV revolution has cheapened the artistry of making a film,0,19
132151,7124,the heart-pounding suspense of a stylish psychological thriller,1,8
17415,755,astoundingly rich,1,2
150174,8180,'ll love it and probably want to see it twice,1,10
150897,8225,", genuine",1,2
3630,136,One of the year 's most weirdly engaging and unpredictable character pieces .,1,13
92536,4819,a glorified episode,0,3
97293,5087,a series of tales told with the intricate preciseness of the best short story writing .,1,16
128613,6917,sleepwalk through vulgarities in a sequel you can refuse .,0,10
58919,2971,", and at times uncommonly moving",1,6
11747,506,Jean-Claude Van Damme look good,1,5
64026,3238,really bad,0,2
93340,4868,by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about,0,21
98657,5173,"confirms Lynne Ramsay as an important , original talent in international cinema .",1,13
73531,3758,A moving and important film,1,5
15798,678,but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,1,23
87773,4558,", stop Eric Schaeffer before he makes another film .",0,10
118946,6357,a brilliant director and,1,4
128234,6900,"report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks",1,24
83134,4291,is that this film 's cast is uniformly superb,1,9
155670,8520,"by an astonishing voice cast -LRB- excepting Love Hewitt -RRB- , an interesting racial tension , and a storyline",1,19
58948,2972,excellent performances,1,2
49923,2450,"such a straightforward , emotionally honest manner that by the end",1,11
19946,884,"memory , resistance and artistic transcendence",1,6
20470,914,captivating new film .,1,4
26587,1219,rest contentedly with the knowledge that he 's made at least one damn fine horror movie,1,16
83955,4338,ca n't rescue Adrian Lyne 's Unfaithful from its sleazy moralizing .,0,12
152328,8311,is a visual treat for all audiences,1,7
153780,8400,"cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release",0,26
59654,3010,It 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over,0,29
16101,692,is genial and decent,1,4
82648,4267,the film has some of the best special effects ever,1,10
103155,5441,needed so badly but what is virtually absent,0,8
69454,3531,wasted minutes of Sandler as the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie,0,19
114970,6122,"with the fast , funny , and even touching story",1,10
81793,4221,", however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",0,29
142355,7723,a true delight .,1,4
63608,3220,"like Bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",0,23
50880,2504,'s a masterpeice .,1,4
40673,1948,"win you over , in a big way",1,8
100492,5272,strong and convincing performances,1,4
123137,6609,The most amazing super-sized dosage,1,5
25264,1154,like a made-for-home-video quickie,0,4
26586,1219,can rest contentedly with the knowledge that he 's made at least one damn fine horror movie,1,17
98906,5187,"seem motivated by nothing short of dull , brain-deadening hangover",0,10
47718,2325,so poorly paced you could fit all of Pootie Tang in between its punchlines,0,14
126731,6814,"What makes How I Killed My Father compelling , besides its terrific performances , is Fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching .",1,30
120092,6423,"told , with superb performances throughout",1,6
101461,5335,"next to his best work , feels clumsy and convoluted",0,10
104713,5530,"a majestic achievement , an epic of astonishing grandeur and",1,10
64557,3267,"it makes up for with a great , fiery passion .",1,11
126025,6771,"A burst of color , music , and dance that only the most practiced curmudgeon could fail to crack a smile at .",1,23
103952,5482,"that 's steeped in mystery and a ravishing , baroque beauty",1,11
21768,972,equally impressive degree,1,3
5970,239,one of world cinema 's most wondrously gifted artists,1,9
132208,7128,"A dull , somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise .",0,20
126857,6820,equally great Robin Williams performance,1,5
123382,6624,nothing 's happening,0,3
138845,7525,"this woefully hackneyed movie , directed by Scott Kalvert",0,9
155332,8502,a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life,1,20
85015,4396,A solidly entertaining little film,1,5
155962,8538,with universal appeal,1,3
60952,3078,look as if it were being shown on the projection television screen of a sports bar,0,16
126406,6795,an absolute delight,1,3
116871,6236,Jackass is a vulgar and cheap-looking version of Candid Camera staged for the Marquis de Sade set .,0,18
32131,1505,cliche-ridden film,0,2
132547,7147,four star performance,1,3
100749,5292,reach for a barf bag,0,5
85281,4410,Much of All About Lily Chou-Chou is mesmerizing : some of its plaintiveness could make you weep,1,17
44974,2181,a real filmmaker,1,3
65744,3333,"It 's a loathsome movie , it really is",0,9
40877,1958,"its subject matter in a tasteful , intelligent manner",1,9
40466,1935,... a pretentious mess ...,0,5
37375,1773,is the best Star Trek movie in a long time .,1,11
31113,1451,"oftentimes funny ,",1,3
31767,1488,an all-around good time,1,4
11437,491,is shockingly bad and absolutely unnecessary,0,6
29595,1371,has no point and,0,4
42518,2050,powerful direction,1,2
4768,182,spirituality that are powerful and moving without stooping to base melodrama,1,11
28613,1323,Control-Alt-Delete Simone as quickly,0,4
100407,5268,she deftly spins the multiple stories in a vibrant and intoxicating fashion,1,12
82405,4255,be rendered tedious by Avary 's failure to construct a story with even a trace of dramatic interest,0,18
43224,2088,"a smartly directed , grown-up film of ideas",1,8
7347,300,ca n't generate enough heat in this cold vacuum of a comedy to start a reaction .,0,17
9728,404,having two guys yelling in your face for two hours,0,10
59008,2977,comes up shorter than Britney 's cutoffs,0,7
89135,4633,"puts a human face on Derrida , and makes one of the great minds of our times interesting and accessible",1,20
133142,7180,a bottom-feeder sequel in the Escape From New York series,0,10
49795,2441,ranks as the most original in years,1,7
70472,3594,an intriguing and alluring premise,1,5
130513,7032,lovely and beautifully,1,3
141704,7687,The Paradiso 's rusted-out ruin and ultimate collapse during the film 's final -LRB- restored -RRB- third ... emotionally belittle a cinema classic .,0,24
83526,4317,", incoherent , instantly disposable",0,5
51410,2532,another tired old vision,0,4
17392,755,ranks with the best of Herzog 's works,1,8
56932,2865,"stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",0,24
65738,3332,informative and breathtakingly spectacular,1,4
150693,8214,causes of anti-Semitism ever seen on screen .,0,8
15209,654,"be captivated , as I was , by its moods , and by its subtly transformed star , and",1,19
117253,6256,works on no level whatsoever for me .,0,8
102595,5401,"is that , by the end , no one in the audience or the film seems to really care",0,19
111171,5893,"Shanghai Ghetto may not be as dramatic as Roman Polanski 's The Pianist , but its compassionate spirit soars every bit as high",1,23
48354,2360,believe anyone would really buy this stuff,0,7
155008,8481,like a side dish no one ordered,0,7
30601,1421,visually compelling,1,2
57241,2883,that 's what makes it worth a recommendation,1,8
58977,2975,"the long , dishonorable history of quickie teen-pop exploitation",0,9
41536,2000,"comes along only occasionally , one so unconventional , gutsy and perfectly",1,12
46385,2255,confusing and horrifying vision,0,4
84378,4363,", touching , dramatically forceful , and beautifully shot",1,9
62809,3179,"A fine , rousing , G-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .",1,29
140185,7607,uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .,0,11
64480,3264,The charm of the first movie is still there,1,9
2783,107,"'s most thoughtful films about art , ethics , and the cost of moral compromise .",1,16
98638,5171,It 's always enthralling .,1,5
89531,4655,gets violently gang-raped,0,3
76971,3958,something rare and riveting,1,4
24701,1126,Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .,1,18
94297,4921,exhilarating documentary,1,2
133352,7196,fails to fascinate .,0,4
154775,8467,"At the one-hour mark , Herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion .",0,27
69425,3529,should make it required viewing in university computer science departments for years to come,1,14
60366,3048,to being the barn-burningly bad movie it promised it would be,0,11
44344,2149,the scripters do n't deserve any Oscars,0,7
45023,2185,exercise in narcissism and self-congratulation disguised as a tribute .,0,10
104482,5514,"bogs down in insignificance , saying nothing about Kennedy 's assassination and revealing nothing about the pathology it pretends to investigate",0,21
74576,3824,can be expected from a college comedy that 's target audience has n't graduated from junior high school,0,18
63023,3189,"terrible , banal dialogue ; convenient , hole-ridden plotting ;",0,10
80126,4128,"disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's Hollywood",0,23
66240,3359,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,1,37
7664,310,so intimate and sensual and funny,1,6
52240,2580,is icily brilliant .,1,4
123488,6631,a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland,0,19
53346,2646,dreamy and,1,2
76224,3911,"there 's no real sense of suspense , and",0,9
113918,6056,shows he can outgag any of those young whippersnappers making moving pictures today .,1,14
150592,8207,you might as well be watching a rerun,0,8
37346,1772,incredibly captivating and insanely funny,1,5
60438,3052,combined with so much first-rate talent,1,6
39320,1877,is impressively true for being so hot-blooded,1,7
123842,6650,'' funny,1,2
152327,8311,is a visual treat for all audiences .,1,8
152118,8299,epic cinema,1,2
102503,5396,"Graphic sex may be what 's attracting audiences to Unfaithful , but gripping performances by Lane and Gere are what will keep them awake .",1,25
79349,4087,I ca n't recommend it .,0,6
105261,5558,", the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .",1,24
120470,6441,what can easily be considered career-best performances,1,7
28730,1331,so sloppily written and,0,4
74450,3815,Definitely worth 95 minutes of your time .,1,8
14433,622,to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love,1,22
116411,6207,is classic nowheresville in every sense,0,6
70539,3596,"Juliette Binoche 's Sand is vivacious ,",1,7
96249,5028,is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer .,0,37
67419,3422,bad writing,0,2
69353,3526,The film has a terrific look and Salma Hayek has a feel for the character at all stages of her life .,1,22
67847,3444,bring out joys in our lives that we never knew,1,10
